emotion,category,content
슬픔,comment,슬픔
슬픔,comment,ㅠㅠ
슬픔,comment,ㅜㅜ
슬픔,comment,우울
슬픔,comment,불행
슬픔,comment,실패
슬픔,comment,눈물
슬픔,comment,위로
슬픔,comment,다운
슬픔,comment,울컥
슬픔,comment,지쳐
슬픔,comment,공허
슬픔,comment,허무
슬픔,comment,무기력
슬픔,comment,현타
슬픔,comment,멘탈 나감
슬픔,comment,저기압
슬픔,comment,살기 힘들다
슬픔,comment,힘들다
슬픔,comment,기운 없어
슬픔,comment,그리움
슬픔,comment,버거워
슬픔,comment,헤어졌어
슬픔,comment,고통스러워
슬픔,comment,외로워
슬픔,comment,최악이야
슬픔,comment,T.T
슬픔,comment,울었다
슬픔,comment,내 눈에서 땀이 나네...
슬픔,comment,휴지 플렉스(Flex) 할 시간
슬픔,comment,눈물 콧물 기절
슬픔,comment,억까 멈춰! 세상이 나를 억까해
슬픔,comment,흑역사 생성 중...
슬픔,comment,음악만이 나라에서 허락한 유일한 마약...★
슬픔,comment,ㄴr는... ㄱr끔... 눈물을 흘린ㄷr...
슬픔,comment,F감성 폭발
슬픔,comment,크흡... (입틀막)
슬픔,comment,안구에 습기 참
슬픔,comment,멘탈 바사삭
슬픔,comment,유리멘탈 깨짐 주의
슬픔,comment,오늘따라 베개가 축축
슬픔,comment,숨 쉬는데 마음이 아파
슬픔,comment,롬곡옾눞 (폭풍눈물)
슬픔,comment,하늘도 울고 나도 울었다
슬픔,comment,내가 웃는 게 웃는 게 아니야
슬픔,comment,겉바속촉 (겉은 바삭 멘탈은 촉촉)
슬픔,comment,1리터의 눈물 찍는 중
슬픔,comment,비도 오고 그래서
슬픔,comment,마음의 비가 주륵주륵
슬픔,comment,텅 빈 방안에 나 홀로
슬픔,comment,가슴 한구석이 시리다
슬픔,comment,오늘은 좀 울게요
슬픔,comment,마음이 텅 빈 것 같아
슬픔,comment,잠은 안 오고 너만 계속 오네
슬픔,comment,그림자마저 쓸쓸해 보여
슬픔,comment,세상에 나 혼자 남겨진 기분
슬픔,comment,아무 말도 하고 싶지 않아
슬픔,comment,한숨이 땅을 꺼지게 해
슬픔,comment,오늘은 bgm이 슬픔이야
슬픔,comment,기억 조작 당하고 싶다
슬픔,comment,추억은 가슴에 묻고
슬픔,comment,이별 노래가 다 내 얘기 같아
슬픔,comment,오늘따라 달이 처량하네
슬픔,comment,"바람이 차갑다, 마음처럼"
슬픔,comment,"울어도 돼, 사실 산타는 없거든"
슬픔,comment,실컷 울고 털어버려
슬픔,comment,비 온 뒤에 땅이 굳는다잖아
슬픔,comment,이 또한 지나가리라
슬픔,comment,오늘은 푹 자는 게 답이다
슬픔,comment,힘든 날이 있으면 좋은 날도 오겠지
슬픔,comment,당신은 소중한 사람이에요
슬픔,comment,흑흑
슬픔,comment,ㅠㅠ
슬픔,comment,ㅜㅜ
슬픔,comment,엉엉
슬픔,comment,으앙
슬픔,comment,훌쩍
슬픔,comment,주륵
슬픔,comment,또르르...
슬픔,comment,에휴
슬픔,comment,하아... (깊은 한숨)
슬픔,comment,힝...
슬픔,comment,끄흡
슬픔,comment,... (말잇못)
슬픔,comment,맙소사
슬픔,comment,오 마이 갓
슬픔,comment,읔 (심장 아픔)
슬픔,comment,흐규흐규
슬픔,comment,찡...
슬픔,comment,ㅠ_ㅠ
슬픔,comment,OT L (좌절)
슬픔,comment,;ㅁ;
슬픔,comment,밥맛이 없다
슬픔,comment,입맛 가출
슬픔,comment,세상이 밉다
슬픔,comment,왜 나한테만 이런 일이
슬픔,comment,가슴이 찢어지는 것 같다
슬픔,comment,심장이 쿵 내려앉음
슬픔,comment,다 포기하고 싶다
슬픔,comment,도망가고 싶다
슬픔,comment,아무것도 안 들려
슬픔,comment,귀 막고 눈 감고
슬픔,comment,어둠 속으로
슬픔,comment,동굴 들어가는 중
슬픔,comment,상처 받았어
슬픔,comment,마상 (마음의 상처)
슬픔,comment,쿠크다스 심장
슬픔,comment,유리 조각처럼 깨짐
슬픔,comment,엄마 보고 싶다
슬픔,comment,집밥 먹고 싶다
슬픔,comment,고향 생각
슬픔,comment,향수병
슬픔,comment,서러워
슬픔,comment,억울해
슬픔,comment,답답해
슬픔,comment,고구마 백만 개
슬픔,comment,목이 메인다
슬픔,comment,말이 안 나와
슬픔,comment,후회막급
슬픔,comment,자괴감 들어
슬픔,comment,나란 놈은...
슬픔,comment,눈물 바다
슬픔,comment,털썩
슬픔,comment,주저앉음
슬픔,comment,일어날 힘도 없어
슬픔,comment,누가 손 좀 잡아줘
슬픔,comment,SOS
슬픔,comment,살려줘
슬픔,comment,Help me
슬픔,comment,위로가 필요해
슬픔,comment,따뜻한 말 한마디면 돼
슬픔,comment,안아줘
슬픔,act,따뜻한 물로 샤워하기
슬픔,act,이불 속에 들어가서 웅크리기
슬픔,act,좋아하는 향의 차 마시기
슬픔,act,따뜻한 우유 데워 마시기
슬픔,act,친한 친구에게 전화해서 울기
슬픔,act,일기장에 솔직한 감정 쓰기
슬픔,act,슬픈 영화 보고 펑펑 울기
슬픔,act,창밖의 풍경 멍하니 바라보기
슬픔,act,좋아하는 음악 크게 틀고 듣기
슬픔,act,가벼운 산책 나가기
슬픔,act,공원에서 벤치에 앉아있기
슬픔,act,강아지나 고양이 쓰다듬기
슬픔,act,반려동물과 함께 산책하기
슬픔,act,맛있는 디저트 먹으러 가기
슬픔,act,아이스크림 먹기
슬픔,act,매운 음식 먹고 땀 흘리기
슬픔,act,따뜻한 국물 요리 먹기
슬픔,act,좋아하는 과일 먹기
슬픔,act,좋아하는 향수 뿌리기
슬픔,act,향초 켜고 불멍 하기
슬픔,act,아로마 오일 냄새 맡기
슬픔,act,디퓨저 향기 맡으며 심호흡하기
슬픔,act,꽃 사서 방에 꽂아두기
슬픔,act,식물에 물 주기
슬픔,act,방 청소하고 정리 정돈하기
슬픔,act,핸드폰 갤러리 정리하기
슬픔,act,좋아하는 책 다시 읽기
슬픔,act,재미있는 예능 프로그램 보기
슬픔,act,유튜브에서 귀여운 동물 영상 보기
슬픔,act,웃긴 영상 찾아보고 웃어보기
슬픔,act,노래방 가서 슬픈 노래 부르기
슬픔,act,코인노래방 가서 소리 지르기
슬픔,act,낙서하기
슬픔,act,나에게 쓰는 위로의 편지 쓰기
슬픔,act,미래의 나에게 편지 쓰기
슬픔,act,버킷리스트 작성하기
슬픔,act,하고 싶은 일 목록 만들기
슬픔,act,근처 미술관이나 박물관 가기
슬픔,act,서점 가서 책 구경하기
슬픔,act,도서관 가서 조용히 책 읽기
슬픔,act,영화관 가서 혼자 영화 보기
슬픔,act,카페 가서 혼자만의 시간 보내기
슬픔,act,맛집 찾아가서 혼밥하기
슬픔,act,드라이브하며 바람 쐬기
슬픔,act,바다 보러 가기
슬픔,act,산에 올라가서 야호 외치기
슬픔,act,강변 걷기
슬픔,act,요가나 스트레칭 하기
슬픔,act,명상하기
슬픔,act,심호흡 크게 10번 하기
슬픔,act,눈 감고 1분 동안 가만히 있기
슬픔,act,낮잠 자기
슬픔,act,일찍 잠자리에 들기
슬픔,act,늦잠 자고 일어나기
슬픔,act,따뜻한 물수건으로 눈 찜질하기
슬픔,act,맛있는 빵 사 먹기
슬픔,act,떡볶이 사 먹기
슬픔,act,치킨 시켜 먹기
슬픔,act,피자 시켜 먹기
슬픔,act,햄버거 먹기
슬픔,act,라면 끓여 먹기
슬픔,act,물 많이 마시기
슬픔,act,도시락 싸서 소풍 가기
슬픔,act,친구 불러서 집에서 놀기
슬픔,act,가족들과 이야기 나누기
슬픔,act,친구와 노래방 가기
슬픔,act,친구와 여행 가기
슬픔,act,혼자 여행 가기
슬픔,act,새로운 취미 배우기
슬픔,act,동호회 가입하기
슬픔,act,심리 상담 받기
슬픔,act,SNS에 감정 표현하기
슬픔,act,명언 찾아 읽기
슬픔,act,긍정적인 문구 써서 붙여두기
슬픔,act,거울 보고 웃는 연습 하기
슬픔,act,스스로 칭찬해 주기
슬픔,act,괜찮아라고 소리 내어 말하기
슬픔,act,지나갈 거야라고 말하기
슬픔,act,나는 소중해라고 말하기
슬픔,act,사랑해라고 말하기
슬픔,act,따뜻한 햇살 쬐기
슬픔,act,비 오는 소리 듣기
슬픔,act,눈 내리는 풍경 보기
슬픔,act,노을 보기
슬픔,act,별 보기
슬픔,act,달 보기
슬픔,act,구름 모양 관찰하기
슬픔,act,바람 소리 듣기
슬픔,act,새소리 듣기
슬픔,act,풀벌레 소리 듣기
슬픔,act,파도 소리 듣기
슬픔,act,장작 타는 소리 ASMR 듣기
슬픔,act,빗소리 ASMR 듣기
슬픔,act,숲속 소리 ASMR 듣기
슬픔,act,따뜻한 수면 양말 신기
슬픔,act,보일러 따뜻하게 틀기
슬픔,act,오락실 가서 게임하기
슬픔,act,낙엽 밟기
슬픔,act,꽃구경 가기
슬픔,act,단풍놀이 가기
슬픔,act,벚꽃놀이 가기
슬픔,act,불꽃놀이 보기
슬픔,act,야경 보러 가기
슬픔,act,해돋이 보러 가기
슬픔,act,해넘이 보러 가기
슬픔,song,아이유 - Love wins all
슬픔,song,아이유 - 아이와 나의 바다
슬픔,song,아이유 - 무릎
슬픔,song,아이유 - 이름에게
