emotion,category,content
피곤,comment,피곤
피곤,comment,집에 가고 싶다
피곤,comment,집에 있는데도 집에 가고 싶다
피곤,comment,격렬하게 아무것도 안 하고 싶다
피곤,comment,배터리 방전
피곤,comment,카페인 수혈 시급
피곤,comment,아아(아이스 아메리카노) 없으면 못 살아
피곤,comment,좀비 모드
피곤,comment,다크서클로 줄넘기 가능
피곤,comment,영혼 가출 중
피곤,comment,로그아웃이 필요합니다
피곤,comment,시스템 종료 직전
피곤,comment,눈꺼풀이 천근만근
피곤,comment,침대가 나를 부른다
피곤,comment,이불 밖은 위험해
피곤,comment,내일의 나에게 미룬다
피곤,comment,오늘 할 일은 내일로
피곤,comment,체력 0%
피곤,comment,저전력 모드
피곤,comment,절전 모드
피곤,comment,기절각
피곤,comment,떡실신
피곤,comment,누가 나 좀 업어가라
피곤,comment,만성피로
피곤,comment,월요병
피곤,comment,현생 불가
피곤,comment,갓생 살기 힘들다
피곤,comment,혐생 멈춰
피곤,comment,번아웃 온 듯
피곤,comment,아무 생각 없이 눕고 싶다
피곤,comment,숨 쉬는 것도 귀찮아
피곤,comment,당 떨어져
피곤,comment,초콜릿 급구
피곤,comment,머리가 안 돌아가
피곤,comment,뇌 정지
피곤,comment,하품만 백만 번째
피곤,comment,눈이 뻑뻑해
피곤,comment,퇴근 마렵다
피곤,comment,종강 언제 해
피곤,comment,과제 폭탄 맞음
피곤,comment,야근 지옥
피곤,comment,밤샘의 후유증
피곤,comment,나 좀 내버려 둬
피곤,comment,지쳤나요? 네 아니요
피곤,comment,비타민 링거 맞고 싶다
피곤,comment,체력 거지
피곤,comment,종이인형 체력
피곤,comment,살려주세요
피곤,comment,걸어 다니는 시체
피곤,comment,바닥이랑 친구 먹음
피곤,comment,눕방 찍고 싶다
피곤,comment,일어나기 싫어
피곤,comment,5분만 더...
피곤,comment,지각 위기
피곤,comment,버스에서 기절
피곤,comment,택시 탈까...
피곤,comment,금융치료가 필요해
피곤,comment,로또만이 살길이다
피곤,comment,돈 많은 백수가 꿈
피곤,comment,체력 포션 삽니다
피곤,comment,박카스 원샷
피곤,comment,레드불 날개를 달아줘
피곤,comment,핫식스 파워
피곤,comment,카페인 중독자
피곤,comment,손 떨려
피곤,comment,정신줄 잡자
피곤,comment,정신이 혼미해
피곤,comment,몽롱하다
피곤,comment,비몽사몽
피곤,comment,개뿔 잠이 최고
피곤,comment,수면 부족
피곤,comment,불면증 아니고 그냥 늦게 잔 거임
피곤,comment,유튜브 보느라 밤샘
피곤,comment,넷플릭스 정주행 후폭풍
피곤,comment,주말 언제 와
피곤,comment,금요일만 기다린다
피곤,comment,수요일이 제일 힘들어
피곤,comment,목요일은 고비
피곤,comment,피곤 쩔어
피곤,comment,개피곤
피곤,comment,핵피곤
피곤,comment,상태 메롱
피곤,comment,멘탈 바사삭
피곤,comment,쿠크다스 멘탈
피곤,comment,건강 챙기자
피곤,comment,운동 부족
피곤,comment,스트레칭이 필요해
피곤,comment,목이 뻐근해
피곤,comment,어깨에 돌덩이
피곤,comment,허리 끊어질 듯
피곤,comment,마사지 받고 싶다
피곤,comment,스파 가고 싶다
피곤,comment,찜질방 가서 지지고 싶다
피곤,comment,자장가 틀어줘
피곤,comment,잘 자요
피곤,comment,굿나잇
피곤,comment,기절
피곤,comment,멘탈 붕괴 직전
피곤,comment,뇌가 파업 선언함
피곤,comment,오늘따라 시간이 멈춘 것 같아
피곤,comment,시계가 고장 난 게 분명해
피곤,comment,숨만 쉬어도 피곤해
피곤,comment,누워있는데 더 격렬하게 눕고 싶다
피곤,comment,침대랑 결혼할래
피곤,comment,이불 속이 내 세상
피곤,comment,다크서클이 턱까지 내려옴
피곤,comment,거울 속 좀비 발견
피곤,comment,안구 건조증 폭발
피곤,comment,눈이 침침해
피곤,comment,눈 뜨고 자는 중 
피곤,comment,몽유병 환자처럼 걷는 중
피곤,comment,카페인 내성 생김
피곤,comment,커피를 물처럼 마시는 중
피곤,comment,에너지 드링크 중독
피곤,comment,혈관에 커피가 흐른다
피곤,comment,체력 방전 0%
피곤,comment,충전기 꽂아주세요
피곤,comment,배터리 교체 시급
피곤,comment,저질 체력 인증
피곤,comment,종이 인간의 삶
피곤,comment,천근만근 만근천근
피곤,comment,누가 내 에너지를 훔쳐갔어
피곤,comment,오늘 하루 삭제하고 싶다
피곤,comment,다음 생엔 돌멩이로 태어날래 
피곤,comment,움직이기 싫어증 걸림
피곤,comment,만사가 귀찮아
피곤,comment,손가락 하나 까딱하기 싫음
피곤,comment,말할 힘도 없어
피곤,comment,타자 칠 힘도 없음
피곤,comment,꿀잠 자고 싶다
피곤,comment,온몸이 쑤셔
피곤,comment,누가 나 좀 두들겨 패줬냐
피곤,comment,보건실/양호실 가고 싶다
피곤,comment,조퇴각 재는 중
피곤,comment,자퇴각 재는 중
피곤,comment,퇴사각 재는 중
피곤,comment,사직서 품에 안고 다님
피곤,comment,돈 많은 백수가 장래희망
피곤,comment,시스템 과부하
피곤,comment,휴식이 필요해
피곤,comment,힐링이 필요해
피곤,comment,여행 가고 싶다 
피곤,comment,아무도 없는 곳으로
피곤,comment,무인도 가서 살고 싶다
피곤,comment,핸드폰 끄고 잠수 탈래
피곤,comment,방해 금지 모드
피곤,comment,노터치
피곤,comment,말 걸면 뭅니다
피곤,comment,예민 보스 등극
피곤,comment,당 떨어져서 손 떨림
피곤,comment,초코우유 수혈
피곤,comment,달달한 거 내놔
피곤,comment,시험 기간 좀 없애줘
피곤,comment,교수님/부장님 살려주세요
피곤,comment,집 보내줘...
피곤,comment,쿨쿨
피곤,comment,Zzz..
