emotion,category,content
평온,comment,평화
평온,comment,평온
평온,comment,이너 피스
평온,comment,마음의 평화
평온,comment,평화롭다
평온,comment,고요하다
평온,comment,잔잔한 호수 같아
평온,comment,아무 일도 일어나지 않아서 좋다
평온,comment,무소식이 희소식
평온,comment,나쁘지 않은 하루
평온,comment,그저 그런 하루
평온,comment,쏘쏘
평온,comment,적당하다
평온,comment,딱 좋아
평온,comment,과하지도 모자라지도 않음
평온,comment,보통의 하루
평온,comment,일상의 소중함
평온,comment,여유롭다
평온,comment,한가하다
평온,comment,멍 때리는 중
평온,comment,물멍
평온,comment,불멍
평온,comment,바람이 살랑살랑
평온,comment,햇살이 따스해
평온,comment,공기가 맑다
평온,comment,빗소리 타닥타닥
평온,comment,ASMR 듣는 기분
평온,comment,백색 소음
평온,comment,차 한 잔의 여유 
평온,comment,커피 향기 좋다 
평온,comment,책 읽기 딱 좋은 날씨 
평온,comment,산책하기 좋은 날
평온,comment,낮잠 자고 일어난 개운함
평온,comment,이불 빨래 냄새
평온,comment,섬유유연제 향기
평온,comment,뽀송뽀송해
평온,comment,기분 좋은 나른함
평온,comment,나른하다
평온,comment,노곤노곤
평온,comment,온천에 몸 담근 기분
평온,comment,아무 생각 안 하기
평온,comment,시간이 천천히 흐른다
평온,comment,느림의 미학
평온,comment,슬로우 라이프
평온,comment,여유만만
평온,comment,천하태평
평온,comment,유유자적
평온,comment,안빈낙도
평온,comment,신선놀음
평온,comment,이게 바로 힐링이지
평온,comment,힐링 그 잡채
평온,comment,소소한 행복
평온,comment,소확행
평온,comment,편안해
평온,comment,안정적이야
평온,comment,균형이 잡혀있음
평온,comment,감정 기복 없음
평온,comment,침착해
평온,comment,차분해
평온,comment,릴랙스
평온,comment,칠링
평온,comment,방해받지 않는 시간
평온,comment,나만의 시간
평온,comment,혼자만의 여유
평온,comment,꽃향기 맡기 
평온,comment,하늘 보기
평온,comment,노을 감상 
평온,comment,별 보기 
평온,comment,달 보기 
평온,comment,심호흡 후~ 하~
평온,comment,숨 고르기
평온,comment,명상하는 시간
평온,comment,요가하는 기분
평온,comment,반신욕
평온,comment,좋아하는 노래 듣기 
평온,comment,라디오 듣기
평온,comment,일기 쓰기 
평온,comment,그냥 걷기
평온,comment,목적지 없이 걷기
평온,comment,드라이브
평온,comment,공원 벤치에 앉아있기
평온,comment,그네 타기
평온,comment,해먹에 누워있기
평온,comment,잔디밭에 눕기
평온,comment,파도 소리
평온,comment,피톤치드
평온,comment,비 온 뒤 흙내음
평온,comment,상관없어
평온,comment,괜찮아
평온,comment,다 잘 될 거야
평온,comment,흘러가는 대로 살자
평온,comment,자연스럽게
평온,comment,휴식 모드
평온,comment,Peace
평온,comment,Calm
평온,comment,Safe
평온,comment,Comfortable
평온,comment,Cozy
평온,comment,Neutral
평온,comment,집이 최고야
평온,comment,내 방이 제일 좋아
평온,comment,침대와 한 몸
평온,comment,잠옷 입고 뒹굴뒹굴
평온,comment,전기장판 위에서 귤 까먹기
평온,comment,지브리 감성 
평온,comment,빗소리
평온,comment,책장 넘기는 소리
평온,comment,따뜻한 코코아 한 잔
평온,comment,배부르고 등 따습다
평온,comment,아무 약속 없는 날
평온,comment,혼밥의 여유
평온,comment,혼영
평온,comment,혼코노
평온,comment,산책로 걷기
평온,comment,동네 한 바퀴
평온,comment,편의점 가는 길
평온,comment,가로등 불빛 아래
평온,comment,밤공기가 차분해
평온,comment,달이 참 밝네요
평온,comment,새벽 감성 말고 새벽 공기
평온,comment,아침 이슬
평온,comment,풀 냄새
평온,comment,꽃 구경
평온,comment,강아지 산책 시키기 
평온,comment,귀여운 동물 영상 보기
평온,comment,아기 웃음소리
평온,comment,집밥이 최고
평온,comment,갓 지은 밥 냄새
평온,comment,기분 좋은 우연
평온,comment,사소한 것에 감사하기
평온,comment,무탈한 하루
평온,comment,평범한 행복
평온,comment,물 흐르듯이
