emotion,category,content
기쁨,comment,기쁨 
기쁨,comment,완전 럭키비키잖아!
기쁨,comment,오늘 기분 최고!
기쁨,comment,폼 미쳤다!
기쁨,comment,텐션 무엇
기쁨,comment,NICE! 오늘 계 탔다!
기쁨,comment,행복해
기쁨,comment,오늘 도파민 싹 도네
기쁨,comment,군침이 싹 돈다
기쁨,comment,갓벽하다
기쁨,comment,오히려 좋아!
기쁨,comment,오늘 내가 주인공
기쁨,comment,찢었다
기쁨,comment,레전드
기쁨,comment,기분 째진다
기쁨,comment,떡상 가즈아
기쁨,comment,맛도리
기쁨,comment,중꺾마
기쁨,comment,가슴이 웅장해진다
기쁨,comment,소리 질러
기쁨,comment,구름 위를 걷는 기분
기쁨,comment,날아갈 것 같아요
기쁨,comment,설레여
기쁨,comment,지구 뿌셔! 우주 뿌셔!
기쁨,comment,오늘따라 세상이 아름다워 보임
기쁨,comment,입꼬리가 귀에 걸렸어요
기쁨,comment,광대 승천 중
기쁨,comment,잇몸 만개 미소 발사
기쁨,comment,콧노래가 절로 나옴
기쁨,comment,발걸음이 깃털처럼 가볍다
기쁨,comment,아드레날린 폭발
기쁨,comment,오늘 밤 주인공은 나야 나
기쁨,comment,흥이 난다 흥이 나! 얼쑤!
기쁨,comment,무야호~
기쁨,comment,오늘 내 세상이다
기쁨,comment,"아, 살맛 난다"
기쁨,comment,꿀잼
기쁨,comment,오늘만 같아라
기쁨,comment,체증이 싹 내려가는 기분
기쁨,comment,긍정 파워
기쁨,comment,드디어 해냈다!
기쁨,comment,충전 완료
기쁨,comment,힐링 그 자체
기쁨,comment,대박
기쁨,comment,꿈이야 생시야
기쁨,comment,미쳤다!
기쁨,comment,앗싸!
기쁨,comment,야호!
기쁨,comment,굿굿!
기쁨,comment,나이스!
기쁨,comment,예스!
기쁨,comment,최고!
기쁨,comment,만세!
기쁨,comment,요시!
기쁨,comment,좋아
기쁨,comment,개이득
기쁨,comment,짜릿해
기쁨,comment,늘 새로워
기쁨,comment,야르
기쁨,comment,성덕
기쁨,comment,따봉
기쁨,comment,입안에서 파티 열림
기쁨,comment,짱이야
기쁨,comment,탄수화물은 사랑입니다
기쁨,comment,혈중 마라 농도 충전 완료
기쁨,comment,미미(美味)
기쁨,comment,이게 천국이지
기쁨,comment,인생 꿀 빤다
기쁨,comment,JMT
기쁨,comment,칭찬
기쁨,comment,퇴근/하교 1초 전
기쁨,comment,"집이 최고야, 짜릿해"
기쁨,comment,돈 쓰는 게 제일 재밌어
기쁨,comment,택배 왔다
기쁨,comment,찢었다
