emotion,category,content
분노,comment,분노
분노,comment,아악!!!!
분노,comment,으아아아!!!
분노,comment,폭발 1초 전
분노,comment,건들지 마시오
분노,comment,물어요
분노,comment,이게 말이 돼?
분노,comment,장난하냐?
분노,comment,지금 나랑 장난해?
분노,comment,선 넘네
분노,comment,선 넘지 마세요
분노,comment,뚜껑 열린다
분노,comment,머리 끝까지 화남
분노,comment,혈압 올라
분노,comment,뒷목 잡음
분노,comment,피가 거꾸로 솟는다
분노,comment,딥빡 
분노,comment,Deep 빡침
분노,comment,개빡침
분노,comment,극대노
분노,comment,대노
분노,comment,중노
분노,comment,소노
분노,comment,참을 인 세 번이면 호구다
분노,comment,더 이상은 못 참아
분노,comment,이성의 끈을 놓음
분노,comment,눈에 뵈는 게 없음
분노,comment,다 부숴버릴 거야
분노,comment,키보드 샷건 쾅쾅
분노,comment,마우스 던짐
분노,comment,모니터 부술 뻔
분노,comment,식빵...
분노,comment,신발...
분노,comment,조카...
분노,comment,시베리아 벌판...
분노,comment,십장생...
분노,comment,귤 까라 그래
분노,comment,이런 젠장
분노,comment,맙소사
분노,comment,왓 더...
분노,comment,너 뭐 돼?
분노,comment,어이가 없네
분노,comment,기가 찬다
분노,comment,말문이 막힘
분노,comment,할 말을 잃음
분노,comment,부들부들
분노,comment,주먹이 운다 
분노,comment,옥상으로 따라와
분노,comment,현피 뜰래?
분노,comment,참교육 시급
분노,comment,복수할 거야
분노,comment,두고 보자
분노,comment,밤길 조심해라
분노,comment,가만안두겠어
분노,comment,용서 못 해
분노,comment,너 아웃
분노,comment,손절각
분노,comment,차단 박음
분노,comment,꼴도 보기 싫어
분노,comment,꺼져
분노,comment,나가
분노,comment,Get out
분노,comment,Shut up
분노,comment,입 닥쳐
분노,comment,입 다물어
분노,comment,시끄러워!
분노,comment,조용히 해!
분노,comment,내 말 좀 들어!
분노,comment,답답해 뒤지겠네
분노,comment,고구마 100개 먹음
분노,comment,암 걸릴 것 같아
분노,comment,속 터져
분노,comment,화병 나겠다
분노,comment,스트레스 만땅
분노,comment,열받아
분노,comment,킹받네
분노,comment,킹받아
분노,comment,잼민이세요?
분노,comment,트롤 짓 하지 마
분노,comment,환불해줘
분노,comment,내 돈 내놔
분노,comment,내 시간 돌려내
분노,comment,내 노력 물거품
분노,comment,배신감 쩐다
분노,comment,뒤통수 맞음
분노,comment,믿는 도끼에 발등 찍힘
분노,comment,억울해서 미치겠네
분노,comment,내가 뭘 잘못했는데?
분노,comment,왜 나한테만 그래!
분노,comment,세상이 나를 억까해
분노,comment,운도 지지리도 없지
분노,comment,가는 날이 장날
분노,comment,똥 밟았다
분노,comment,재수 옴 붙음
분노,comment,아오 빡쳐
분노,comment,진정이 안 돼
분노,comment,심호흡 후하후하 (안 통함)
분노,comment,다 망해라
분노,comment,세상 멸망 기원
분노,comment,운석 떨어져라 
분노,comment,다 필요 없어
분노,comment,때려치워
분노,comment,사표 던진다
분노,comment,자퇴할래
분노,comment,휴학할래
분노,comment,잠수 탈 거야
분노,comment,건드리면 폭발함
분노,comment,접근 금지
분노,comment,접근하면 뭅니다
분노,comment,으르렁
분노,comment,크앙!
분노,comment,파이어!
분노,comment,불타오르네
분노,comment,활활 타오른다
분노,comment,분노 조절 장애
분노,comment,앵그리버드 빙의
분노,comment,헐크 변신 직전
분노,comment,고질라 출현
분노,comment,괴물로 변하는 중
분노,comment,흑화 한다
분노,comment,다크 모드 ON
분노,comment,복수의 칼날을 간다
분노,comment,정의의 이름으로 용서하지 않겠다
분노,comment,뿌린 대로 거두리라
분노,comment,두고 봐라 진짜
분노,comment,후회하게 해 줄게
분노,comment,눈물 쏙 빼줄게
분노,comment,매운맛 좀 볼래?
분노,comment,순한 맛 끝났다
분노,comment,매운맛 보여줌
분노,comment,각오해라
분노,comment,전쟁이다
분노,comment,선전포고
분노,comment,전투 태세
분노,comment,전투력 상승
분노,comment,아드레날린 폭발 (전투용)
분노,comment,혈압약 줘 
분노,comment,뒷목 마사지 필요
분노,comment,얼음물 가져와 
분노,comment,열 식히는 중
분노,comment,시스템 과열
분노,comment,경고 삐-
분노,comment,Danger
분노,comment,Warning
분노,comment,Error
분노,comment,어이 상실
분노,comment,기가 막히고 코가 막힌다
분노,comment,혈압계 터질 듯
분노,comment,스팀 나온다
분노,comment,머리에서 연기 남
분노,comment,이성의 끈 싹둑 
분노,comment,눈 돌아감 
분노,comment,눈에서 레이저 발사
분노,comment,입에서 불 나옴 
분노,comment,죽을래?
분노,comment,맞을래?
분노,comment,옥수수 털리고 싶냐 
분노,comment,명치 딱 대
분노,comment,딱 밤 백 대
